"Line","Column","Message","Extent","RuleName","Severity","ScriptName","ScriptPath","RuleSuppressionID","SuggestedCorrections","IsSuppressed"
"23","59","File 'post-tool-use.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host","PSAvoidUsingWriteHost","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1",,,"False"
"40","9","File 'post-tool-use.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host $logEntry","PSAvoidUsingWriteHost","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1",,,"False"
"293","59","File 'post-tool-use.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host","PSAvoidUsingWriteHost","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1",,,"False"
"299","59","File 'post-tool-use.ps1' uses Write-Host. Avoid using Write-Host because it might not work in all hosts, does not work when there is no host, and (prior to PS 5.0) cannot be suppressed, captured, or redirected. Instead, use Write-Output, Write-Verbose, or Write-Information.","Write-Host","PSAvoidUsingWriteHost","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1",,,"False"
"66","39","The variable '$FilePath' is not declared within this ScriptBlock, and is missing the 'Using:' scope modifier.","$FilePath","PSUseUsingScopeModifierInNewRunspaces","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1","PSUseUsingScopeModifierInNewRunspaces","Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
"66","50","The variable '$ProjectDir' is not declared within this ScriptBlock, and is missing the 'Using:' scope modifier.","$ProjectDir","PSUseUsingScopeModifierInNewRunspaces","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1","PSUseUsingScopeModifierInNewRunspaces","Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
"67","46","The variable '$ProjectDir' is not declared within this ScriptBlock, and is missing the 'Using:' scope modifier.","$ProjectDir","PSUseUsingScopeModifierInNewRunspaces","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1","PSUseUsingScopeModifierInNewRunspaces","Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
"117","51","The variable '$ProjectDir' is not declared within this ScriptBlock, and is missing the 'Using:' scope modifier.","$ProjectDir","PSUseUsingScopeModifierInNewRunspaces","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1","PSUseUsingScopeModifierInNewRunspaces","Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
"117","64","The variable '$ScriptPath' is not declared within this ScriptBlock, and is missing the 'Using:' scope modifier.","$ScriptPath","PSUseUsingScopeModifierInNewRunspaces","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1","PSUseUsingScopeModifierInNewRunspaces","Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
"118","58","The variable '$ProjectDir' is not declared within this ScriptBlock, and is missing the 'Using:' scope modifier.","$ProjectDir","PSUseUsingScopeModifierInNewRunspaces","Warning","post-tool-use.ps1","E:\AitherZero-Internal\.claude\hooks\post-tool-use.ps1","PSUseUsingScopeModifierInNewRunspaces","Microsoft.Windows.PowerShell.ScriptAnalyzer.Generic.CorrectionExtent[]","False"
